PRECINCT,TOTVOTE,P_SOTOP,P_CHILDR,P_HVAP,P_WVAP,P_AMINVAP,P_OTHVAP,P_CVAPW,P_CVAPAMIN,P_CVAPHISP,P_CVAPOTH
101,227,0.550660793,0.449339207,0.337066069,0.506159015,0.065509518,0.091265398,0.417594323,0.110961216,0.412341456,0.059103005
102,134,0.671641791,0.328358209,0.664726426,0.258440047,0.027939464,0.048894063,0.537521149,0.026891504,0.388134327,0.04745302
103,243,0.703703704,0.296296296,0.672752809,0.264747191,0.024578652,0.037921348,0.454178167,0.071533512,0.451966512,0.022321809
104,81,0.75308642,0.24691358,0.750623441,0.193266833,0.017456359,0.038653367,0.329828188,0.001338697,0.663226274,0.005606841
105,185,0.648648649,0.351351351,0.707383774,0.239744758,0.014585232,0.038286236,0.610160494,0.029325512,0.331189211,0.029324783
110,496,0.52016129,0.47983871,0.187937063,0.736888112,0.019230769,0.055944056,0.698388949,0.020369171,0.253343212,0.027898668
111,434,0.423963134,0.576036866,0.281456954,0.621854305,0.022516556,0.074172185,0.603247357,0.011586935,0.351482049,0.033683659
112,151,0.662251656,0.337748344,0.66969353,0.289443814,0.01816118,0.022701476,0.365804008,0.033263265,0.53653358,0.064399147
113,389,0.727506427,0.272493573,0.723337269,0.229830775,0.014954742,0.031877214,0.31345576,2.71E-06,0.602933567,0.083607964
116,329,0.547112462,0.452887538,0.23628692,0.689873418,0.015822785,0.058016877,0.748629156,0.028884577,0.21199773,0.010488537
118,180,0.583333333,0.416666667,0.278364116,0.617414248,0.023746702,0.080474934,0.649503884,0.04074765,0.289210221,0.020538245
120,356,0.769662921,0.230337079,0.767498977,0.180515759,0.015554646,0.036430618,0.277973509,0.031387169,0.671470419,0.019168903
123,107,0.654205607,0.345794393,0.612765957,0.34751773,0.015602837,0.024113476,0.58047559,0.038901506,0.324430437,0.056192467
124,215,0.674418605,0.325581395,0.531053733,0.376133985,0.027913468,0.064898814,0.387093711,0.026708347,0.560653649,0.025544293
126,317,0.798107256,0.201892744,0.777837838,0.144324324,0.01027027,0.067567568,0.152614056,0.041157582,0.678682703,0.127545659
127,523,0.644359465,0.355640535,0.463414634,0.476388168,0.016087182,0.044110016,0.530944242,6.76E-05,0.415006073,0.053982046
129,314,0.624203822,0.375796178,0.44079516,0.499567848,0.017286085,0.042350907,0.383018863,0.022466607,0.510310027,0.084204503
